0;1235835 
1;798336 
2;943104 
3;1105619 
4;1292669 
5;1503630 
6;1740159 
7;2008982 
8;2302938 
9;2628569 
10;2984061 
11;3369078 
12;3784976 
13;4237044 
14;4705409 
15;5208330 
16;5737724 
17;6286933 
18;6862247 
19;7455035 
20;8032432 
21;8634147 
22;9243720 
23;9816810 
24;10401487 
25;10956704 
26;11495755 
27;11987098 
28;12448830 
29;12847543 
30;13206086 
31;13503262 
32;13760235 
33;13956691 
34;14070982 
35;14100210 
36;14071204 
37;13961661 
38;13771384 
39;13492593 
40;13205264 
41;12837457 
42;12443907 
43;11976306 
44;11478444 
45;10945768 
46;10392548 
47;9808421 
48;9216677 
49;8623139 
50;8030097 
51;7430252 
52;6846189 
53;6279435 
54;5723625 
55;5204178 
56;4699901 
57;4222568 
58;3769622 
59;3356616 
60;2976148 
61;2619903 
62;2294471 
63;2002725 
64;1738732 
65;1501274 
66;1289229 
67;1105330 
68;938913 
69;794949 
70;672065 
